year,home_team,away_team,winner,tie,day,date,time,pts_win,pts_loss,yds_win,turnovers_win,yds_loss,turnovers_loss,home_team_name,home_team_city,away_team_name,away_team_city,kickoff_time,week_num,total,home,away,attendance,wins,loss,points_for,points_against,points_differential,margin_of_victory,strength_of_schedule,simple_rating,offensive_ranking,defensive_ranking,playoffs,sb_winner,home_score_diff,team_tier
2000,San Diego Chargers,Seattle Seahawks,Seattle Seahawks,0,Sun,2000-09-24,4:15PM,20,12,269,2,303,2,Chargers,San Diego,Seahawks,Seattle,2000-09-24 16:15:00,4,981863,433459,548404,47233,1,15,269,440,-171,-10.7,2.6,-8.1,-3.7,-4.4,No Playoffs,No Superbowl,-8,
2000,Denver Broncos,Kansas City Chiefs,Kansas City Chiefs,0,Sun,2000-09-24,4:16PM,23,22,294,3,342,3,Broncos,Denver,Chiefs,Kansas City,2000-09-24 16:16:00,4,1140030,604042,535988,74596,11,5,485,369,116,7.3,-2.2,5.0,7.8,-2.7,Playoffs,No Superbowl,-1,Elite Offense
2000,Oakland Raiders,Cleveland Browns,Oakland Raiders,0,Sun,2000-09-24,4:17PM,36,10,292,0,230,2,Raiders,Oakland,Browns,Cleveland,2000-09-24 16:17:00,4,998655,462515,536140,45702,12,4,479,299,180,11.3,-1.5,9.7,8.0,1.8,Playoffs,No Superbowl,26,Elite Offense
2000,New York Giants,Washington Redskins,Washington Redskins,0,Sun,2000-09-24,8:37PM,16,6,394,0,261,1,Giants,New York,Redskins,Washington,2000-09-24 20:37:00,4,1135455,624085,511370,78216,12,4,328,246,82,5.1,-2.7,2.4,-1.3,3.8,Playoffs,No Superbowl,-10,
2000,Indianapolis Colts,Jacksonville Jaguars,Indianapolis Colts,0,Mon,2000-09-25,9:00PM,43,14,533,1,286,2,Colts,Indianapolis,Jaguars,Jacksonville,2000-09-25 21:00:00,4,1008013,454319,553694,56816,10,6,429,326,103,6.4,1.5,7.9,7.1,0.8,Playoffs,No Superbowl,29,Elite Offense
2000,Buffalo Bills,Indianapolis Colts,Indianapolis Colts,0,Sun,2000-10-01,1:01PM,18,16,265,1,385,0,Bills,Buffalo,Colts,Indianapolis,2000-10-01 13:01:00,5,1098587,560695,537892,72617,8,8,315,350,-35,-2.2,2.2,0.0,0.5,-0.5,No Playoffs,No Superbowl,-2,Elite Offense
2000,Detroit Lions,Minnesota Vikings,Minnesota Vikings,0,Sun,2000-10-01,1:01PM,31,24,439,0,355,1,Lions,Detroit,Vikings,Minnesota,2000-10-01 13:01:00,5,1140926,607076,533850,76438,9,7,307,307,0,0.0,1.4,1.4,-0.1,1.5,No Playoffs,No Superbowl,-7,
2000,Carolina Panthers,Dallas Cowboys,Dallas Cowboys,0,Sun,2000-10-01,1:02PM,16,13,291,2,272,2,Panthers,Carolina,Cowboys,Dallas,2000-10-01 13:02:00,5,1095192,583489,511703,73310,7,9,310,310,0,0.0,-1.1,-1.1,-3.6,2.5,No Playoffs,No Superbowl,-3,
2000,St. Louis Rams,San Diego Chargers,St. Louis Rams,0,Sun,2000-10-01,1:02PM,57,31,614,0,381,2,Rams,St. Louis,Chargers,San Diego,2000-10-01 13:02:00,5,1081368,528402,552966,66010,10,6,540,471,69,4.3,-1.2,3.1,12.6,-9.5,Playoffs,No Superbowl,26,Mid-Tier
2000,Tennessee Titans,New York Giants,Tennessee Titans,0,Sun,2000-10-01,1:03PM,28,14,436,1,215,4,Titans,Tennessee,Giants,New York,2000-10-01 13:03:00,5,1091274,547524,543750,68341,13,3,346,191,155,9.7,-1.3,8.3,1.5,6.8,Playoffs,No Superbowl,14,Elite Offense
